file,propeller,volume
"13x55E-PERF.PE0","13x5.5E: radius 6.47 in, 2 blades, hub radius 0.400 in","model 1.1520 in^3 with the bore cut; file quotes 1.2068 in^3"
"13x55MR-PERF.PE0","13x5.5MR: radius 6.47 in, 2 blades, hub radius 0.320 in","model 0.8523 in^3 with the bore cut; file quotes 0.8946 in^3"
"13x55MRF-RH-PERF.PE0","13x5.5MRF-RH: radius 6.50 in, 2 blades, hub radius 0.000 in","model 0.3414 in^3 with the bore cut; file quotes 0.8228 in^3"
"13x6-PERF.PE0","13x6: radius 6.48 in, 2 blades, hub radius 0.500 in","model 1.7199 in^3 with the bore cut; file quotes 1.8303 in^3"
"13x65E(F2B)-PERF.PE0","13x6.5E: radius 6.47 in, 2 blades, hub radius 0.400 in","model 0.8865 in^3 with the bore cut; file quotes 0.9260 in^3"
"13x7-PERF.PE0","13x7: radius 6.50 in, 2 blades, hub radius 0.500 in","model 1.7175 in^3 with the bore cut; file quotes 1.8330 in^3"
"13x7F-PERF.PE0","13x7F: radius 6.50 in, 2 blades, hub radius 0.000 in","model 0.3568 in^3 with the bore cut; file quotes 0.9230 in^3"
"13x8-PERF.PE0","13x8: radius 6.47 in, 2 blades, hub radius 0.500 in","model 1.7199 in^3 with the bore cut; file quotes 1.8418 in^3"
"13x8E-PERF.PE0","13x8E: radius 6.47 in, 2 blades, hub radius 0.400 in","model 1.0707 in^3 with the bore cut; file quotes 1.1503 in^3"
"13x9-PERF.PE0","13x9: radius 6.47 in, 2 blades, hub radius 0.540 in","model 2.3028 in^3 with the bore cut; file quotes 2.4122 in^3"
"14x10-PERF.PE0","14x10: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.6231 in^3 with the bore cut; file quotes 2.7744 in^3"
"14x10E-PERF.PE0","14x10E: radius 7.00 in, 2 blades, hub radius 0.400 in","model 1.2120 in^3 with the bore cut; file quotes 1.2974 in^3"
"14x10F-PERF.PE0","14x10F: radius 6.92 in, 2 blades, hub radius 0.000 in","model 0.4502 in^3 with the bore cut; file quotes 1.1463 in^3"
"14x11-PERF.PE0","14x11: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.5781 in^3 with the bore cut; file quotes 2.7377 in^3"
"14x12-PERF.PE0","14x12: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.6601 in^3 with the bore cut; file quotes 2.8227 in^3"
"14x12E-PERF.PE0","14x12E: radius 7.00 in, 2 blades, hub radius 0.400 in","model 1.2319 in^3 with the bore cut; file quotes 1.3198 in^3"
"14x12N-PERF.PE0","14x12N: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.2250 in^3 with the bore cut; file quotes 2.4640 in^3"
"14x13-PERF.PE0","14x13: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.4013 in^3 with the bore cut; file quotes 2.5342 in^3"
"14x135-PERF.PE0","14x13.5: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.3758 in^3 with the bore cut; file quotes 2.5141 in^3"
"14x13M-PERF.PE0","14x13M: radius 7.00 in, 2 blades, hub radius 0.620 in","model 2.9948 in^3 with the bore cut; file quotes 3.3795 in^3"
"14x13N-PERF.PE0","14x13N: radius 7.00 in, 2 blades, hub radius 0.600 in","model 2.3190 in^3 with the bore cut; file quotes 2.5172 in^3"
"14x14-PERF.PE0","14x14: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.4347 in^3 with the bore cut; file quotes 2.6014 in^3"
"14x14E-PERF.PE0","14x14E: radius 7.00 in, 2 blades, hub radius 0.400 in","model 1.2253 in^3 with the bore cut; file quotes 1.3239 in^3"
"14x14N-PERF.PE0","14x14N: radius 7.00 in, 2 blades, hub radius 0.600 in","model 2.2975 in^3 with the bore cut; file quotes 2.4969 in^3"
"14x17M-PERF.PE0","14x17M: radius 7.00 in, 2 blades, hub radius 0.620 in","model 3.1013 in^3 with the bore cut; file quotes 3.7336 in^3"
"14x47SF-PERF.PE0","14x4.7SF: radius 7.00 in, 2 blades, hub radius 0.250 in","model 0.8112 in^3 with the bore cut; file quotes 0.9217 in^3"
"14x4W-PERF.PE0","14x4W: radius 7.00 in, 2 blades, hub radius 0.500 in","model 1.8530 in^3 with the bore cut; file quotes 2.1560 in^3"
"14x55MR-PERF.PE0","14x5.5MR: radius 7.00 in, 2 blades, hub radius 0.320 in","model 1.0456 in^3 with the bore cut; file quotes 1.0984 in^3"
"14x5N-PERF.PE0","14x5N: radius 7.00 in, 2 blades, hub radius 0.500 in","model 1.7320 in^3 with the bore cut; file quotes 1.8378 in^3"
"14x6-PERF.PE0","14x6: radius 7.00 in, 2 blades, hub radius 0.570 in","model 2.5831 in^3 with the bore cut; file quotes 2.6967 in^3"
"14x6E-PERF.PE0","14x6E: radius 7.00 in, 2 blades, hub radius 0.400 in","model 1.2128 in^3 with the bore cut; file quotes 1.2936 in^3"
