folder,source_file,model,megabytes,blades,diameter_in,pitch_in,hub_thickness_in,bore_in,model_volume_in3,file_volume_in3,volume_error_pct,model_mass_g,airfoil
17x8N,17x8N-PERF.PE0,hub and blades,13.44,2,17.0,8.0,0.4108,0.375,3.0903,3.4961,-11.6,86.09,CLARK-Y
18.1x10,181x10-PERF.PE0,hub and blades,13.43,2,18.1,10.0,0.6817,0.375,4.8305,4.8977,-1.4,134.57,CLARK-Y
18.1x12,181x12-PERF.PE0,hub and blades,13.46,2,18.1,12.0,0.6817,0.375,4.63,4.6496,-0.4,128.98,CLARK-Y
18x10,18x10-PERF.PE0,hub and blades,13.37,2,18.0,10.0859,0.45,0.5,4.4735,4.6434,-3.7,124.62,CLARK-Y
18x10E,18x10E-PERF.PE0,hub and blades,13.48,2,18.0,10.0,0.375,0.375,2.4501,2.6097,-6.1,68.25,E63 to APC12
18x12,18x12-PERF.PE0,hub and blades,13.33,2,18.0,12.1031,0.5,0.5,4.612,4.8261,-4.4,128.48,CLARK-Y
18x12E,18x12E-PERF.PE0,hub and blades,13.36,2,18.0,12.0,0.385,0.375,2.4535,2.6261,-6.6,68.35,E63 to APC12
18x12WE,18x12WE-PERF.PE0,hub and blades,13.48,2,18.0,12.0,0.38,0.375,2.7156,2.9024,-6.4,75.65,E63 to APC12
18x14,18x14-PERF.PE0,hub and blades,13.32,2,18.0,14.1146,0.5241,0.5,4.6552,5.0671,-8.1,129.68,CLARK-Y
18x5.5MR,18x55MR-PERF.PE0,hub and blades,13.18,2,18.0,5.5,0.34,0.375,2.2158,2.2572,-1.8,61.73,E63 to APC12
18x6W,18x6W-PERF.PE0,hub and blades,13.37,2,18.0,6.0,0.45,0.5,4.4484,4.5495,-2.2,123.92,CLARK-Y
18x7WP,18x7WP-PERF.PE0,hub and blades,13.34,2,18.0,7.0,0.45,0.5,4.4496,4.5635,-2.5,123.96,CLARK-Y
18x8,18x8-PERF.PE0,hub and blades,13.31,2,18.0,8.0859,0.45,0.5,4.4644,4.5847,-2.6,124.37,CLARK-Y
18x8E,18x8E-PERF.PE0,hub and blades,13.43,2,18.0,8.0,0.395,0.375,2.4799,2.6282,-5.6,69.09,E63 to APC12
18x8W,18x8W-PERF.PE0,hub and blades,13.12,2,18.0,8.3005,0.2845126486648186,0.5,4.2329,5.0932,-16.9,117.92,CLARK-Y
19x10E,19x10E-PERF.PE0,hub and blades,13.47,2,19.0,10.0,0.385,0.375,2.7959,2.9711,-5.9,77.89,E63 to APC12
19x11,19x11-PERF.PE0,hub and blades,13.13,2,19.0,11.0,0.6139,0.375,4.6807,4.9294,-5.0,130.4,CLARK-Y
19x12E,19x12E-PERF.PE0,hub and blades,13.46,2,19.0,12.0,0.38,0.375,2.7762,2.9633,-6.3,77.34,E63 to APC12
19x12WE,19x12WE-PERF.PE0,hub and blades,13.45,2,19.0,12.0,0.43,0.375,3.791,4.0339,-6.0,105.61,E63 to APC12
19x8E,19x8E-PERF.PE0,hub and blades,13.39,2,19.0,8.0,0.41,0.375,2.8569,3.0218,-5.5,79.59,E63 to APC12
19x8W,19x8W-PERF.PE0,hub and blades,26.67,2,19.0,8.2998,0.26291731647638805,0.5,4.727,5.7899,-18.4,131.68,CLARK-Y
20.5x10.5PN,205x105PN-PERF.PE0,hub and blades,13.48,2,20.5,11.4175,0.7,0.375,6.23,6.2368,-0.1,173.56,CLARK-Y
20.5x10.5WPN,205x105WPN-PERF.PE0,hub and blades,13.47,2,20.5,10.6481,0.498,0.375,5.6319,6.2519,-9.9,156.89,CLARK-Y
20.5x10PN,205x10PN-PERF.PE0,hub and blades,13.48,2,20.5,10.2,0.7,0.375,6.23,6.2368,-0.1,173.56,CLARK-Y
20.5x12WE,205x12WE-PERF.PE0,hub and blades,13.53,2,20.5,12.0,0.4,0.375,4.4021,4.7394,-7.1,122.63,E63 to APC12
20.5x13.5EPN,205x135EPN-PERF.PE0,hub and blades,13.55,2,20.5,13.5,0.37,0.375,3.2869,3.5611,-7.7,91.57,E63 to APC12
20.5x14E,205x14E-PERF.PE0,hub and blades,13.56,2,20.5,14.0,0.5,0.375,4.1439,4.4421,-6.7,115.44,E63 to APC12
20.5x14EPN,205x14EPN-PERF.PE0,hub and blades,13.51,2,20.5,14.0,0.37,0.375,3.2789,3.5396,-7.4,91.34,E63 to APC12
20.5x20.5E,205x205E(CD)-PERF.PE0,hub and blades,13.06,2,20.7,20.5,0.3377,0.375,3.0479,3.1771,-4.1,84.91,E63 to APC12
20x10,20x10-PERF.PE0,hub and blades,13.29,2,20.0,10.0573,0.5546,0.5,6.1849,6.5496,-5.6,172.3,CLARK-Y
20x10.5PN,20x105PN-PERF.PE0,hub and blades,13.36,2,20.0,10.5,0.7,0.375,5.7289,5.7384,-0.2,159.59,CLARK-Y
20x10E,20x10E-PERF.PE0,hub and blades,13.48,2,20.0,10.0,0.41,0.375,3.2625,3.5139,-7.2,90.89,E63 to APC12
20x10PN,20x10PN-PERF.PE0,hub and blades,13.35,2,20.0,10.0,0.7,0.375,6.116,6.1319,-0.3,170.38,CLARK-Y
20x10W,20x10W-PERF.PE0,hub and blades,26.54,2,20.0,10.375,0.3423991841516941,0.5,5.9895,6.9778,-14.2,166.86,CLARK-Y
20x11E,20x11E-PERF.PE0,hub and blades,13.44,2,20.0,11.0,0.415,0.375,3.3197,3.5695,-7.0,92.48,E63 to APC12
20x12,20x12-PERF.PE0,hub and blades,13.2,2,20.0,12.0573,0.5546,0.5,6.1848,6.7251,-8.0,172.3,CLARK-Y
20x12WE,20x12WE-PERF.PE0,hub and blades,13.5,2,20.0,12.0,0.42,0.375,3.7153,4.0471,-8.2,103.5,E63 to APC12
20x13E,20x13E-PERF.PE0,hub and blades,13.51,2,20.0,13.0,0.42,0.375,3.27,3.5439,-7.7,91.1,E63 to APC12
20x14,20x14-PERF.PE0,hub and blades,13.13,2,20.0,14.1203,0.4251,0.5,5.5663,6.7599,-17.7,155.07,CLARK-Y
20x15,20x15(WCAR-T6)-PERF.PE0,hub and blades,12.94,2,20.0,16.8618,0.9936,0.5,7.5785,7.2284,4.8,161.45,AS-16 to AS-9
20x15C,20x15C-PERF.PE0,hub and blades,13.32,2,20.0,15.1764,0.5029,0.5,5.9471,6.7568,-12.0,131.56,CLARK-Y
20x15E,20x15E-PERF.PE0,hub and blades,13.56,2,20.0,15.0,0.42,0.375,3.2664,3.5347,-7.6,91.0,E63 to APC12
20x18,20x18(F1-GT)-PERF.PE0,hub and blades,13.22,2,20.0,19.206,1.0201,0.5,7.7711,7.8546,-1.1,127.33,N-22A to FS-9D
20x22.5EP,20x225EP(CD)-PERF.PE0,hub and blades,13.27,2,20.0,22.5,0.39,0.5,3.3655,3.4828,-3.4,93.76,E63 to APC12
20x8,20x8-PERF.PE0,hub and blades,13.25,2,20.0,8.0688,0.5546,0.5,6.1634,6.4423,-4.3,171.7,CLARK-Y
20x8E,20x8E-PERF.PE0,hub and blades,13.38,2,20.0,8.0,0.41,0.375,3.2979,3.5178,-6.3,91.87,E63 to APC12
20x8W,20x8W-PERF.PE0,hub and blades,13.17,2,20.0,8.2947,0.32142312460189654,0.5,5.8793,6.8251,-13.9,163.79,CLARK-Y
21.5x10.5PN,215x105PN-PERF.PE0,hub and blades,13.43,2,21.52,10.512,0.4983,0.375,5.58,6.0691,-8.1,155.45,CLARK-Y
21.5x10WPN,215x10WPN-PERF.PE0,hub and blades,13.24,2,21.52,10.3,0.5552,0.375,5.5675,6.149,-9.5,155.1,CLARK-Y
21.5x13EPN,215x13EPN-PERF.PE0,hub and blades,13.44,2,21.5,13.0,0.37,0.375,3.6867,3.9705,-7.1,102.7,E63 to APC12
21x10.5PN,21x105PN-PERF.PE0,hub and blades,13.4,2,21.0,10.5972,0.5676,0.375,5.5715,5.927,-6.0,155.21,CLARK-Y
21x10PN,21x10PN-PERF.PE0,hub and blades,13.39,2,21.0,10.2059,0.4983,0.375,5.5501,6.0657,-8.5,154.61,CLARK-Y
21x10W,21x10W-PERF.PE0,hub and blades,13.06,2,21.0,10.0,0.33258126195774007,0.5,6.6318,8.3828,-20.9,184.75,CLARK-Y
21x12WE,21x12WE-PERF.PE0,hub and blades,13.44,2,21.0,12.0,0.435,0.375,4.3727,4.7128,-7.2,121.81,E63 to APC12
21x13.5EPN,21x135EPN-PERF.PE0,hub and blades,13.36,2,21.0,13.5,0.37,0.375,3.5014,3.7826,-7.4,97.54,E63 to APC12
